plant_id,location_id,gene_A,gene_B,gene_C,trait_yield,avg_temp,rainfall_mm,soil_ph
P001,L003,0.9695846277645586,0.9082658859666536,0.2944488920695857,107,30.087776841155577,118.24122060973806,6.383061002746754
P002,L004,0.7751328233611146,0.2395618906669724,0.3850977286019252,145,31.2856179415652,198.8840609405163,7.2754083655166
P003,L001,0.9394989415641892,0.1448948720912231,0.8511366715168569,50,24.39816157547097,258.3158087451697,5.615117520033289
P004,L003,0.8948273504276488,0.489452760277563,0.3169220051562776,118,30.087776841155577,118.24122060973806,6.383061002746754
P005,L003,0.5978999788110851,0.9856504541106008,0.1694927466860925,53,30.087776841155577,118.24122060973806,6.383061002746754
P006,L004,0.9218742350231168,0.2420552715115004,0.5568012624583502,65,31.2856179415652,198.8840609405163,7.2754083655166
P007,L001,0.0884925020519195,0.6721355474058786,0.936154774160781,73,24.39816157547097,258.3158087451697,5.615117520033289
P008,L001,0.1959828624191452,0.7616196153287176,0.696029796674973,129,24.39816157547097,258.3158087451697,5.615117520033289
P009,L003,0.045227288910538,0.2376375439923996,0.570061170089365,51,30.087776841155577,118.24122060973806,6.383061002746754
P010,L002,0.3253303307632643,0.7282163486118596,0.0971764937707685,141,24.92996818054874,257.9236285589108,6.599057764647471
P011,L003,0.388677289689482,0.3677831327192532,0.6150072266991697,81,30.087776841155577,118.24122060973806,6.383061002746754
P012,L003,0.2713490317738959,0.6323058305935795,0.9900538501042632,140,30.087776841155577,118.24122060973806,6.383061002746754
P013,L003,0.8287375091519293,0.6335297107608947,0.140084015236524,133,30.087776841155577,118.24122060973806,6.383061002746754
P014,L003,0.3567533266935893,0.5357746840747585,0.5183296523637367,73,30.087776841155577,118.24122060973806,6.383061002746754
P015,L004,0.2809345096873807,0.0902897700544083,0.8773730719279554,61,31.2856179415652,198.8840609405163,7.2754083655166
P016,L001,0.5426960831582485,0.835302495589238,0.7407686177542044,99,24.39816157547097,258.3158087451697,5.615117520033289
P017,L004,0.1409242249747626,0.3207800649717358,0.697015740995268,84,31.2856179415652,198.8840609405163,7.2754083655166
P018,L004,0.8021969807540397,0.1865185103998542,0.7024840839871093,82,31.2856179415652,198.8840609405163,7.2754083655166
P019,L004,0.0745506436797708,0.0407751415547639,0.3594911512197551,82,31.2856179415652,198.8840609405163,7.2754083655166
P020,L003,0.9868869366005172,0.5908929431882418,0.2935918442644933,110,30.087776841155577,118.24122060973806,6.383061002746754
